file,class,contact_sheets,contact_rows,distinct_emails,multiemail_cells,fwdfill_rows,mapped_fields,google
240113-Contacts.xlsx,AUTO,1,48,47,0,1,company|contact|email|phone|role,
240114-Contacts.xlsx,AUTO,1,35,34,0,20,company|contact|email|mobile|phone|role,
240115-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
240119-Contacts.xlsx,NON_CONTACT,0,0,0,0,0,,
240120-Contacts.xlsx,AUTO,1,71,67,0,42,address|company|contact|discipline|email|mobile|phone|role,
240126-Contacts.xlsx,AUTO,1,23,23,0,2,company|contact|email|phone,
240129-Contacts.xlsx,AUTO,1,43,40,0,27,company|contact|email|mobile|phone,
240132-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
240134-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
240135-Contacts.xlsx,AUTO,1,19,33,4,0,company|contact|discipline|email|mobile|phone,
240136-Contacts.xlsx,AUTO,1,28,27,0,13,company|contact|discipline|email|mobile|phone|role,
250001-Contacts.xlsx,AUTO,1,16,15,0,3,company|contact|email|mobile|note|phone|role,
250002-Contacts.xlsx,ERROR,File contains no valid workbook part,,,,,,
250007-Contacts.xlsx,AUTO,1,22,39,11,0,discipline|email|phone,
250013-Contacts.xlsx,AUTO,2,60,56,1,39,company|contact|discipline|email|mobile|phone|role,
250018-Contacts.xlsx,HEADERLESS_EMAILS,1,48,57,0,0,,
250019-Contacts.xlsx,AUTO,1,36,36,0,0,contact|email|mobile|phone,
250020-Contacts.xlsx,AUTO,2,82,42,0,35,company|email|phone|role,
250021-Contacts.xlsx,AUTO,1,18,17,0,12,company|contact|discipline|email,
250031-Contacts.xlsx,AUTO,1,31,31,0,11,address|company|discipline|email|mobile|phone,
250032-Contacts.xlsx,MANUAL,1,40,40,0,21,company|contact|discipline|mobile|phone,
250034-Contacts.xlsx,AUTO,1,7,7,0,0,company|contact|email|phone|role,
250037-Contacts.xlsx,MANUAL,1,40,43,0,21,address|company|mobile,
250038-Contacts.xlsx,AUTO,1,51,51,0,28,address|company|contact|discipline|email|mobile|phone|role,
250039-Contacts.xlsx,AUTO,1,12,12,0,0,contact|discipline|email|phone,
250042-Contacts.xlsx,AUTO,1,96,96,0,14,address|company|contact|email|phone|role,
250045-Contacts.xlsx,MANUAL,1,18,28,0,2,address|company|contact|discipline|mobile|phone,
250047-Contacts.xlsx,AUTO,1,47,45,1,0,email|mobile|phone,
250048-Contacts.xlsx,HEADERLESS_EMAILS,1,6,6,0,0,,
250052-Contacts.xlsx,AUTO,1,19,22,3,3,address|company|discipline|email|phone,
250057-Contacts.xlsx,AUTO,1,40,38,0,14,address|company|contact|email|mobile|phone|role,
250058-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
250059-Contacts.xlsx,AUTO,1,12,12,0,5,company|contact|email|role,
250061-Contacts.xlsx,ERROR,"""There is no item named '[Content_Types].xml' in the archive""",,,,,,
250065-Contacts.xlsx,AUTO,1,67,67,0,39,company|discipline|email|phone,
250067-Contacts.xlsx,AUTO,1,57,57,0,30,company|contact|discipline|email|mobile|phone|role,
250068-Contacts.xlsx,AUTO,4,133,88,0,59,address|company|contact|discipline|email|mobile|note|phone,
250070-Contacts.xlsx,AUTO,1,25,26,1,5,address|company|contact|discipline|email|mobile|phone,
250071-Contacts.xlsx,AUTO,2,61,58,2,14,address|company|contact|discipline|email|mobile|phone,
250072-Contacts.xlsx,AUTO,1,46,45,1,20,address|company|contact|discipline|email|mobile|phone|role,
250079-Contacts.xlsx,AUTO,1,18,21,2,0,contact|email|mobile|phone,
250081-Contacts.xlsx,AUTO,1,22,26,0,2,company|contact|discipline|email|mobile|phone|role,
250082-Contacts.xlsx,AUTO,1,46,47,1,24,company|discipline|email,
250085-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
250088-Contacts.xlsx,AUTO,2,43,31,1,0,discipline|email|mobile|phone,
250089-Contacts.xlsx,AUTO,1,19,19,0,5,company|contact|discipline|email|mobile|phone,
250092-Contacts.xlsx,AUTO,1,25,25,0,15,company|contact|discipline|email|mobile,
250093-Contacts.xlsx,AUTO,1,28,38,0,0,email|phone,
250094-Contacts.xlsx,AUTO,1,19,19,0,11,company|contact|discipline|email,
250097-Contacts.xlsx,AUTO,1,16,20,4,0,contact|email|mobile|phone,
250098-Contacts.xlsx,AUTO,1,30,33,5,5,company|contact|discipline|email|phone,
250102-Contacts.xlsx,AUTO,1,34,36,0,16,company|contact|email|mobile|phone,
250108-Contacts.xlsx,AUTO,1,31,56,17,0,address|company|discipline|email|phone,
250109-Contacts.xlsx,AUTO,1,16,16,0,7,company|contact|discipline|email|mobile|phone,
250110-Contacts.xlsx,AUTO,1,18,18,0,9,company|contact|email,
250111-Contacts.xlsx,AUTO,1,26,26,0,0,company|discipline|email|note|phone,
250113-Contacts.xlsx,AUTO,1,63,63,0,17,address|company|contact|email|phone|role,
250115-Contacts.xlsx,AUTO,1,22,22,0,10,company|contact|discipline|email|mobile|phone,
250116-Contacts.xlsx,HEADERLESS_EMAILS,1,34,30,0,0,,
250117-Contacts.xlsx,HEADERLESS_EMAILS,1,39,37,0,0,,
250118-Contacts.xlsx,MANUAL,1,48,48,0,5,address|company|contact|phone|role,
250119-Contacts.xlsx,AUTO,1,27,27,2,0,contact|discipline|email|mobile|phone,
250122-Contacts.xlsx,AUTO,2,42,35,1,17,address|company|discipline|email|mobile|phone,
250124-Contacts.xlsx,AUTO,1,43,44,2,21,company|contact|email|mobile|phone,
250125-Contacts.xlsx,MANUAL,1,30,30,0,0,address|company|contact|phone|role,
250128-Contacts.xlsx,AUTO,1,27,23,0,0,company|contact|email|mobile|phone|role,
250130-Contacts.xlsx,AUTO,1,46,47,0,11,company|contact|email|phone|role,
250134-Contacts.xlsx,AUTO,1,53,53,0,4,company|contact|email|phone|role,
250135-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
250136-Contacts.xlsx,AUTO,1,23,28,5,2,company|contact|discipline|email|phone,
250139-Contacts.xlsx,AUTO,1,31,32,4,0,discipline|email|phone,
250140-Contacts.xlsx,AUTO,1,14,16,2,0,contact|email|mobile|phone,
250142-Contacts.xlsx,AUTO,1,50,50,1,0,address|company|contact|discipline|email|mobile|phone|role,
250143-Contacts.xlsx,AUTO,1,59,58,0,19,company|contact|email|mobile|phone|role,
250144-Contacts.xlsx,MANUAL,1,42,42,0,4,address|company|contact|phone|role,
250149-Contacts.xlsx,AUTO,1,47,47,0,9,address|company|contact|email|phone|role,
250151-Contacts.xlsx,AUTO,1,18,22,0,0,company|contact|email|mobile|phone|role,
250152-Contacts.xlsx,AUTO,1,10,14,4,1,address|company|discipline|email|phone,
250156-Contacts.xlsx,AUTO,1,67,68,0,28,company|contact|discipline|email|mobile|phone,
250157-Contacts.xlsx,MANUAL,1,20,33,0,0,address|company|contact|discipline|mobile|phone,
260009-Contacts.xlsx,AUTO,1,15,24,8,0,address|contact|discipline|email|phone,
260011-Contacts.xlsx,AUTO,1,41,40,0,15,address|company|contact|discipline|email|mobile|phone,
260014-Contacts.xlsx,HEADERLESS_EMAILS,1,34,34,0,0,,
260015-Contacts.xlsx,HEADERLESS_EMAILS,1,32,31,0,0,,
260016-Contacts.csv,AUTO,1,52,52,0,0,company|contact|email|role,
